pair_id,cosine_sim,sim_bucket,ensemble_majority,ensemble_confidence,verdict_sonnet,verdict_openai,verdict_gemini,shared_clients,item_a_title,item_a_lede,item_a_published_at,item_b_title,item_b_lede,item_b_published_at,human_label
p0231,0.587269127368927,"[0.55, 0.60)",SAME,3_of_3,SAME,SAME,SAME,['JPMorgan'],"UPDATE 4-JPMorgan $2 bln loss hits shares, dents image",,2012-05-11 00:00:00,Breakingviews: JPMorgan hammers another nail in VaR coffin,,2012-05-14 00:00:00,
p0232,0.5752949714660645,"[0.55, 0.60)",,routed_to_human,UNCLEAR,DIFFERENT,SAME,['Toyota'],"As sales accelerate, Toyota goes to war on waste",,2012-05-08 00:00:00,Toyota sees profits tripling,,2012-05-08 00:00:00,
p0233,0.5640266537666321,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Boeing'],Boeing Sees Larger 787 With Chance to Boost Orders by 60%,"Boeing Co. (BA) said its stretched 787 Dreamliner promises to match sales of the smallest variant, boosting the plane’s order tally as much as 60 percent, as it expanded its wide-body lineup to blunt an Airbus SAS challenge. The 787-10 is in “great demand,” Chief Executive Officer Jim McNerney said in a Bloomberg Television interview today at the Paris Air Show , where United Airlines (UAL) agreed to buy 20 of the jets and Air Lease Corp. (AL) ordered 30. Building a Dreamliner capable of seating about 330 people is part of Boeing’s strategy to upgrade two aircraft families, along with the 777,",2013-06-18 16:12:51,"Thomson Airways Mulls Hawaii, Perth Routes as 787 Extends Reach","Thomson Airways Ltd. may add flights
to locations as far flung as Hawaii and Perth, Australia , as the
U.K. tour operator swaps Boeing Co. (BA) 767s for the planemaker’s
latest 787 Dreamliners able to fly 2,000 nautical miles further. Thomson, Britain’s No. 3 mainline carrier by passengers,
took delivery of the first of eight 787s in May as it retires
nine 767-300ERs. The Dreamliner can fly up to 8,200 nautical
miles, versus 5,990 for the 767 model, Boeing’s website says. “Hawaii, South Africa -- it can even get to Perth if you
fly in the right way with the right number of people,” Jeremy
Elli",2013-06-21 14:17:34,
p0234,0.5989316701889038,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],Hyatt Hotels Corporation to Speak at Goldman Sachs Conference,,2012-05-29 00:00:00,PerkinElmer to Present at Goldman Sachs Global Healthcare Conference,,2012-05-30 00:00:00,
p0235,0.5580792427062988,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Toyota'],Japan Inc. Cashes in on Abenomics as Toyota Profit to Rise,"Japanese Prime Minister Shinzo Abe’s economic recovery plan is filling the coffers of manufacturers from Toyota Motor Corp. (7203) to Sony Corp. (6758) As the exporters prepare to announce first-quarter earnings this week, 14 of Japan ’s 27 largest are projected to beat their own full-year operating profit forecasts by 5 percent or more, according to data compiled by Bloomberg. Net income may surge 75 percent from a year earlier among companies that sell abroad and 33 percent at domestic-oriented firms, UBS AG said this month. Abe’s drive to end 15 years of deflation in Japan through monetary ",2013-07-29 08:38:55,"Toyota, nearing record profit, slows in Southeast Asia",,2013-08-01 00:00:00,
p0236,0.5683367252349854,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],JPMorgan Sued for $95 Million Over Mortgage Securities,"JPMorgan Chase & Co. (JPM) , the biggest
U.S. bank by assets, was sued for about $95 million over
 mortgage loans bundled into securities. JPMorgan “materially breached” representations about
loans backing the securities, a mortgage-securitization trust
said in a summons filed Dec. 30 in New York State Supreme Court
in Manhattan. The Bear Stearns trust is seeking damages of at least
$95 million, according to the court filing. Bear Stearns Cos.,
which was acquired by JPMorgan, and EMC Mortgage Corp. are also
named as defendants. Jennifer Zuccarelli , a JPMorgan spokeswoman, declined to
comment ",2012-01-03 17:09:42,PwC Fined $2.17 Million by U.K. Regulator Over JPMorgan Client-Money Audit,"PricewaterhouseCoopers LLP was fined
a record 1.4 million pounds ($2.17 million) for failures
concerning reports on client-money accounts at JPMorgan Chase &
Co. (JPM) ’s London securities unit. PwC’s “acts of misconduct merit a severe reprimand,” the
 Accountancy & Actuarial Discipline Board said in a judgment 
released today. PwC failed to notice that J.P. Morgan Securities
Ltd. hadn’t properly segregated an average of $8.6 billion of
client funds from the firm’s accounts in reports to the U.K.’s
Financial Services Authority for the seven years through 2008. JPMorgan discovered the error in ",2012-01-06 00:01:00,
p0237,0.5608508586883545,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Wells Fargo'],Wells Fargo & Company Announces Dividend,,2012-01-24 00:00:00,Wells Fargo and Enfinity Announce $100 Million Solar Fund,,2012-01-25 00:00:00,
p0238,0.594799280166626,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Wells Fargo'],Kennametal Management to Meet with Financial Community at Wells Fargo Securities Industrial and Construction Conference,,2013-04-30 00:00:00,Lennox International to Present at Wells Fargo Conference,,2013-05-03 00:00:00,
p0239,0.5712984204292297,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],Apple's iPhone loses China market share,,2012-02-17 00:00:00,China Telecom says in deal with Apple to sell iPhones in China,,2012-02-20 00:00:00,
p0240,0.615852952003479,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],News Corp to Participate in Goldman Sachs Communacopia Conference,,2013-09-23 00:00:00,Gannett Reports Significant Progress on its Strategic Growth Plan at Goldman Sachs Communacopia,,2013-09-26 00:00:00,
p0241,0.6468743681907654,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],Comcast to Participate in Morgan Stanley Investor Conference,,2013-02-18 00:00:00,"Blue Nile to Present at Morgan Stanley Technology, Media & Telecom Conference",,2013-02-19 00:00:00,
p0242,0.6473526954650879,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Walmart'],UPDATE 2-Walmart holiday hiring to outpace U.S. retail industry,,2013-09-23 00:00:00,Wal-Mart Hires Workers for Holidays Amid Shelf Complaints,"Wal-Mart Stores Inc. (WMT) is hiring
55,000 seasonal workers and adding another 70,000 part-time and
full-time workers as it gears up for the holiday season and
reverses workforce reductions that have made it hard to keep
store shelves stocked. The company is moving 35,000 part-time workers to full-time
status and is elevating another 35,000 to part-time from
temporary, the Bentonville, Arkansas-based retailer said today
in a statement. The 70,000 workers will be elevated in the next
few months and will keep their new posts after the holiday
season ends, said Kory Lundberg, a Wal-Mart spokesma",2013-09-23 20:07:55,
p0243,0.6114839315414429,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],"Bank of America, Syncora settle mortgage fraud lawsuit",,2012-07-17 00:00:00,BofA Profit Rebound Marred by $22.7 Billion in Mortgage Claims,"Bank of America Corp. ’s second-
quarter results were marred by record claims for refunds on
faulty mortgages, casting doubt on whether improvements in the
lender’s real estate operations will last. A cut in reserves for bad loans helped the Charlotte , North
Carolina-based company swing to a $2.46 billion profit from a
record $8.83 billion loss a year earlier as the bank reported
today that fewer borrowers fell behind on payments. At the same
time, the bank said demands for buybacks from mortgage-bond
investors and insurers surged more than $6 billion in three
months to $22.7 billion. “We don",2012-07-18 21:09:38,
p0244,0.6463985443115234,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Verizon'],U.S. NSA is collecting phone records of Verizon customers -report,,2013-06-05 00:00:00,U.S. Culling Verizon Phone Data Defended as Terror Shield,"The Obama administration and Senate Intelligence Committee leaders of both parties defended the secret collection of telephone records of millions of U.S. residents as critical to combating terrorism, with one lawmaker saying such surveillance thwarted a “significant” plot. As some members of Congress condemned the program as an intrusion in the lives of innocent Americans, the White House said Congress was regularly updated and all rules were followed. Lawmakers confirmed they knew of the classified court order compelling Verizon Communications Inc. (VZ) to provide data on its customers’ call",2013-06-06 23:07:33,
p0245,0.6212700605392456,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Bank of America'],BRIEF-Bank of America CFO bruce Thompson speaking at investor conference,,2012-09-10 00:00:00,BofA looking to grow loans after divestitures-CFO,,2012-09-10 00:00:00,
p0246,0.6278770565986633,"[0.60, 0.65)",DIFFERENT,2_of_3,SAME,DIFFERENT,DIFFERENT,['AT&T'],SBA Communications Corporation Releases Information Regarding Contemplated Combination of AT&T; and Leap Wireless,,2013-07-15 00:00:00,"LEAP Stockholders Seeking More Money, Important Information Regarding AT&T; Merger Encouraged to Contact Securities Lawyers at Deans & Lyons",,2013-07-16 00:00:00,
p0247,0.6141696572303772,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],"Cincinnati Bell to Present at Morgan Stanley Technology, Media & Telecom Conference",,2013-02-22 00:00:00,Equinix to Present at Morgan Stanley and Raymond James Investor Conferences,,2013-02-25 00:00:00,
p0248,0.6057118773460388,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],Sonic to Attend Bank of America Merrill Lynch 2013 Consumer & Retail Conference,,2013-03-06 00:00:00,"TRW to Present at the Bank of America Merrill Lynch 2013 New York Auto Summit on March 27, 2013",,2013-03-08 00:00:00,
p0249,0.6277145743370056,"[0.60, 0.65)",SAME,2_of_3,SAME,SAME,DIFFERENT,['IBM'],"SHAREHOLDER ALERT: Law Firm of Levi & Korsinsky, LLP Announces Investigation into Possible Breaches of Fiduciary Duty by the Board of Kenexa Corp. in Connection with the Sale of the Company to IBM Corp.",,2012-08-27 00:00:00,IBM to Buy Social-Business Company Kenexa for $1.3 Billion,"International Business Machines
Corp. (IBM) agreed to buy Kenexa Corp. (KNXA) for about $1.3 billion in cash,
adding social-networking services that help companies handle
human resources and recruiting. IBM will pay $46 a share for the Wayne, Pennsylvania-based
company, a 42 percent premium over the stock’s closing price on
Aug. 24. The deal is expected to be completed in the fourth
quarter, IBM said today in a statement. The purchase bolsters IBM’s business-analytics software,
which helps companies cull vast amounts of data to make
decisions and study trends. Kenexa works with more than 8,900",2012-08-27 20:15:53,
p0250,0.6329501867294312,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],Apple signs deal with Warner for streaming music: reports,,2013-06-03 00:00:00,"Apple to sell audio ads on ""iRadio"" music service -sources",,2013-06-05 00:00:00,
p0251,0.6443882584571838,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - JPMorgan Eur Small - Tender Offer,,2012-05-09 00:00:00,REG - JPMorgan Overseas - Top Ten Largest Investments,,2012-05-11 00:00:00,
p0252,0.6346156597137451,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Facebook'],UPDATE 5-Facebook smashes analyst targets but executive comments spook Street,,2013-10-30 00:00:00,"FACTBOX: Facebook results beat, but young teens turn away",,2013-10-30 00:00:00,
p0253,0.6097440719604492,"[0.60, 0.65)",DIFFERENT,2_of_3,DIFFERENT,UNCLEAR,DIFFERENT,['Bank of America'],Bank of America Merrill Lynch Launches Controlled Account in Mexico,,2013-05-23 00:00:00,MOVES-Bank of America Merrill Lynch,,2013-05-24 00:00:00,
p0254,0.6182593107223511,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Ford'],Sanchez Energy buys Eagle Ford assets from Hess for $265 mln,,2013-03-18 00:00:00,Sanchez Energy Invites You to Join Its Eagle Ford Acquisition Conference Call,,2013-03-20 00:00:00,
p0255,0.627948522567749,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],Covidien to Present at J.P. Morgan Healthcare Conference,,2013-12-30 00:00:00,The Advisory Board Company to Present at 32nd Annual J.P. Morgan Healthcare Conference,,2013-12-31 00:00:00,
p0256,0.6437968015670776,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],"Capital Senior Living Corporation to Present at the Bank of America Merrill Lynch 2013 Health Care Conference on Wednesday, May 15, 2013",,2013-05-03 00:00:00,SolarCity to Present at the 2013 Bank of America Merrill Lynch Smid Cap Conference,,2013-05-06 00:00:00,
p0257,0.6011078357696533,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],"Goldman Beats Estimates on Investment Banking, Debt Gains","Goldman Sachs Group Inc. (GS) said earnings doubled, beating analysts’ estimates on a surge in underwriting revenue and gains from the firm’s own investments. Second-quarter net income rose to $1.93 billion, or $3.70 a share, from $962 million, or $1.78, a year earlier, the New York-based company said today in a statement. That beat the $2.89 average estimate of 27 analysts in a Bloomberg survey. Gains from debt investments almost tripled and fixed-income trading climbed 12 percent as Chief Executive Officer Lloyd C. Blankfein, 58, led Goldman Sachs through a drop in bond prices sparked by ind",2013-07-16 20:06:33,BofA to Goldman Sachs Lead $30 Billion of Bond Offerings in U.S.,"Bank of America Corp. and Goldman
Sachs Group Inc. (GS) led at least $30 billion of corporate bond
 sales in the U.S. this week, the busiest period in almost two
months, as relative yields narrowed. Bank of America, the second-biggest U.S. lender, sold $2
billion of 10-year securities and New York-based Goldman Sachs
issued $2.5 billion at its lowest relative yield for five-year
debt since the financial crisis, according to data compiled by
Bloomberg. Offerings increased from $24.6 billion last week and
were the most since $36.8 billion in the five days ended May 24. The extra yield investors ",2013-07-19 14:07:13,
p0258,0.6252118349075317,"[0.60, 0.65)",SAME,2_of_3,SAME,SAME,DIFFERENT,['JPMorgan'],JPMorgan mortgage deal with U.S. government likely for Tuesday -source,,2013-11-18 00:00:00,JPMorgan $13 Billion Mortgage Deal Seen as Lawsuit Shield,"JPMorgan Chase & Co. (JPM) ’s record $13
billion deal to end probes into mortgage-bond sales may save the
bank billions more because of what the agreement lacked: an
explicit admission of wrongdoing. Employees of JPMorgan and two firms it acquired knew some
of the loans included in bonds didn’t meet underwriting
standards, a fact not shared with buyers of those securities,
the U.S. Justice Department said yesterday in a statement. That
doesn’t mean the company misled investors, said Chief Financial
Officer Marianne Lake, disputing how some state and federal
officials characterized the deal. JP",2013-11-20 14:39:01,
p0259,0.6098907589912415,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],Rajat Gupta Judge Says He’s Inclined to Allow July 2008 Call,"The judge presiding over Rajat
Gupta’s trial for insider trading said he’s inclined to let
prosecutors introduce a secretly recorded July 2008 phone call. On the call, Gupta discloses to Galleon Group co-founder
Raj Rajaratnam details of a Goldman Sachs Group Inc. (GS) board
meeting about the bank acquiring a commercial bank or American
International Group Inc. (AIG) U.S. District Judge Jed Rakoff in
Manhattan said that he will hear arguments from both sides
before making a final ruling. To contact the reporter on this story:
Patricia Hurtado in New York at 
 pathurtado@bloomberg.net To contac",2012-05-16 16:17:50,Gupta’s Lawyer Seeks Victory Where Rajaratnam’s Failed,"Galleon Group LLC co-founder Raj Rajaratnam, for his trial last year on insider-trading charges,
selected as his lawyer a combative ex-Marine who cursed at a
cameraman after court one day. The jury, citing overwhelming evidence, voted to convict. Rajat Gupta -- the ex- Goldman Sachs Group Inc. (GS) director
whose own insider-trading trial begins May 21 -- chose a lawyer
with a different style: Gary Naftalis , an affable presence in
the elite New York white-collar defense bar who recently
attended a reception for a Rajaratnam prosecutor at his new law
firm and who socializes with the judge pres",2012-05-19 04:01:01,
p0260,0.6222147345542908,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Citigroup'],"The Zacks Analyst Blog Highlights: Citigroup, JPMorgan Chase, U.S. Bancorp, Nissan Motor and Ford Motor",,2012-04-24 00:00:00,"Zacks Bull and Bear of the Day Highlights: Intuitive Surgical, Leggett & Platt, Bank of America, Morgan Stanley and Citigroup",,2012-04-25 00:00:00,
p0261,0.647114098072052,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],Community Health Systems to Participate in The Bank of America Merrill Lynch 2012 Leveraged Finance Conference,,2012-11-27 00:00:00,Scientific Games to Present at Bank of America Merrill Lynch 2012 Leveraged Finance Conference,,2012-11-29 00:00:00,
p0262,0.6102170944213867,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],"UPDATE 2-Verizon, Vodafone to announce $130 bln US deal on Monday",,2013-09-01 00:00:00,Vodafone’s Project Spring Puts $10 Billion in High-Speed Network,"Vodafone Group Plc (VOD) ’s sale of its
 Verizon Wireless stake will usher in what Chief Executive
Officer Vittorio Colao called a new chapter focused on expanding
services and strengthening the company’s presence where it
already exists. Vodafone, the world’s second-biggest mobile-phone carrier,
dubbed it Project Spring, and said it’ll use about $10 billion
from the sale for upgrades, giving it faster, fourth-generation
wireless coverage across 90 percent of its five biggest markets
in Europe by 2017, Colao said in a conference call today. “Now is the time for Vodafone to step up its investme",2013-09-03 13:38:15,
p0263,0.6453968286514282,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],Informatica to Present at Bank of America Merrill Lynch Technology Conference,,2012-05-07 00:00:00,MannKind to Present at Bank of America Merrill Lynch 2012 Health Care Conference,,2012-05-08 00:00:00,
p0264,0.6219748258590698,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['AT&T'],AT&T; could buy wireless assets in Europe -CEO,,2013-09-24 00:00:00,AT&T’s European Expansion Seen as Perilous Growth Strategy,"AT&T Inc. (T) , which is considering an
expansion across the Atlantic, faces the same realities that
undermined European deals a decade ago: Doing business in the
region is costly, complicated and highly regulated. Phone companies have tried and failed to reap benefits from
global networks, said Craig Moffett, founder of researcher
MoffettNathanson LLC. In Europe, AT&T would have to contend with
a fragmented, price-sensitive market, with a patchwork of
governments hampering efforts to create a regional network. “There simply aren’t sufficient economic benefits to
global scale,” said Moffett, w",2013-09-26 20:43:04,
p0265,0.606235682964325,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Walmart'],"Wal-Mart Stores, Inc. to present at the 33rd Annual William Blair Growth Stock Conference",,2013-06-05 00:00:00,"UPDATE 1-Wal-Mart annual meeting: glitz, songs, stock buyback, protests",,2013-06-07 00:00:00,
p0266,0.6476660370826721,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],Comcast to Participate in Morgan Stanley Investor Conference,,2013-02-18 00:00:00,AT&T; to Webcast Presentation by John Stephens at Morgan Stanley Conference on February 26,,2013-02-19 00:00:00,
p0267,0.6224775314331055,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG-JPMorgan Asset Management FORM 8.3 - Chemring Group Plc,,2012-08-29 00:00:00,REG - JPMorgan Small Co IT - Total Voting Rights,,2012-08-31 00:00:00,
p0268,0.6245669722557068,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],"Five Star Quality Care, Inc. to Present at the Bank of America Merrill Lynch 2013 Health Care Conference on May 14, 2013",,2013-05-07 00:00:00,GenMark Diagnostics to Present at the Bank of America Merrill Lynch 2013 Healthcare Conference,,2013-05-10 00:00:00,
p0269,0.6361280083656311,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],"Verizon Invested More Than $525 Million in 2012 on Wireline Communications, IT Infrastructure in Pennsylvania",,2013-02-14 00:00:00,Verizon Wireless Completes $267 Million In Network Enhancements In New York Metro Region,,2013-02-15 00:00:00,
p0270,0.6317936182022095,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],"ON THE MOVE-Morgan Stanley hires brokers from Merrill, Barclays",,2012-12-03 00:00:00,UPDATE 1-Morgan Stanley shifts broker bonuses to reward growth,,2012-12-06 00:00:00,
p0271,0.6008511781692505,"[0.60, 0.65)",SAME,2_of_3,UNCLEAR,SAME,SAME,['Twitter'],Twitter to raise up to $1.44bln; Stocks gain,,2013-10-24 00:00:00,Twitter IPO as Economical as Its Tweets With 27% Discount,"Twitter Inc. (TWTR) ’s $10.9 billion initial public offering valuation is as economical as its 140-character tweets. The San Francisco-based company is seeking a valuation of 9.5 times 2014 sales in its IPO next month, according to data released in a filing with the Securities and Exchange Commission yesterday and analyst projections compiled by Bloomberg. That’s 27 percent cheaper than the 12.9 times 2014 sales that Facebook Inc. (FB) traded at as of yesterday, and 29 percent lower than LinkedIn Corp. (LNKD) ’s multiple of 13.4 times sales, the data show. The discount Twitter is offering unde",2013-10-25 15:42:37,
p0272,0.6162280440330505,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],"Worldwide Smart Connected Device Market, Led by Samsung and Apple, Grew 27.1% in the Third Quarter, According to IDC",,2012-12-10 00:00:00,Strategy Analytics: Samsung and Apple Surge Ahead in Consumer Brand Preference,,2012-12-12 00:00:00,
p0273,0.6486890316009521,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Goldman Sachs'],Goldman officials get over $100 million in stock-filings,,2013-01-18 00:00:00,Goldman Raises CEO’s Stock Bonus 90% to $13.3 Million,"(Corrects 2007 payout in third paragraph of story
published Jan. 18.) Goldman Sachs Group Inc. (GS) boosted
Chief Executive Officer Lloyd C. Blankfein’s stock bonus 90
percent to $13.3 million, topping JPMorgan Chase & Co. (JPM) ’s Jamie Dimon for the first time in five years, as profit climbed . While the bank didn’t disclose Blankfein’s cash bonus, a
person familiar with the payout said his total bonus was about
70 percent restricted stock and 30 percent cash, like last year.
On that basis, the total would be about $19 million including
$5.7 million in cash. Pay for Blankfein, whose $67.9 mi",2013-01-19 14:54:59,
p0274,0.6427003741264343,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],KEMET to Present at Bank of America Merrill Lynch 2013 Leveraged Finance Conference,,2013-12-02 00:00:00,Plum Creek CEO to Speak at the Bank of America Merrill Lynch 2013 US Basic Materials Conference,,2013-12-03 00:00:00,
p0275,0.6036750674247742,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['ExxonMobil'],Exxon Starting Development of $4 Billion Gulf of Mexico Field,"Exxon Mobil Corp. (XOM) , the largest U.S.
oil company, said it will invest more than $4 billion in the
development of its Julia oil field in the Gulf of Mexico . Oil production is expected to start in 2016 from the field,
which was discovered in 2007, Irving, Texas-based Exxon said in
a statement today. The resource in place is estimated to be
almost 6 billion barrels, Exxon said. The Julia unit was the subject of a 2011 Exxon lawsuit
against the U.S. over the government’s decision to cancel the
offshore leases because Exxon hadn’t proceeded quickly enough
with development. The litigation was",2013-05-07 23:38:07,Exxon to Build $10 Billion U.S. LNG Export Plant With Qatar,"Exxon Mobil Corp. (XOM) , the largest energy
company by market value, signed an agreement with Qatar
Petroleum International to move forward with construction of a
$10 billion natural gas export terminal in Texas . The project will involve installing liquefaction equipment
at an existing import facility in Sabine Pass, Texas, according
to an e-mailed statement today from Golden Pass Products LLC, a
subsidiary formed by the two companies. It won permission last
year to export the fuel to nations with free-trade agreements
with the U.S. and is awaiting approval to send the fuel to all
other coun",2013-05-09 20:20:05,
p0276,0.6255573034286499,"[0.60, 0.65)",SAME,2_of_3,SAME,SAME,DIFFERENT,['Apple'],Apple to Refresh IPads Amid Challenges for Tablet Share,"Apple Inc. (AAPL) is upgrading its iPad lineup to fend off a growing list of competitors, which are introducing their own tablets at lower prices with snazzier features. Chief Executive Officer Tim Cook will debut a high-definition iPad mini and a thinner iPad at a San Francisco event tomorrow, people with knowledge of the plans have said. Facing two straight quarters of declining profit and a stock that’s down by more than a quarter from a September 2012 record, Apple is facing a similar challenge with the iPad as it has with the iPhone, battling lower-cost rivals and proving that incremental",2013-10-21 04:01:00,"Apple kicks off Tuesday event, expected to show new iPads",,2013-10-22 00:00:00,
p0277,0.6147894263267517,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],"Verizon Wireless Enhances 4G LTE Coverage in and around Bath, Maine",,2013-06-25 00:00:00,Verizon Wireless 4G LTE Network Now Substantially Complete In Georgia,,2013-06-28 00:00:00,
p0278,0.6273540258407593,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Microsoft'],CEO Ballmer retires as Microsoft struggles to modernize,,2013-08-23 00:00:00,Microsoft CEO Ballmer Said to Discuss Exit in 2010,"Microsoft Corp. (MSFT) Chief Executive Officer Steve Ballmer has been contemplating his departure from the world’s largest software maker for at least three years. Ballmer and the company’s board started discussing succession planning as early as 2010, said a person with knowledge of the matter, who asked not to be identified because the deliberations were private. The conversations centered on what attributes Ballmer and other board members wanted in a new CEO. That led to Ballmer exposing internal CEO candidates to the board and also meeting with external candidates, said the person. The exi",2013-08-24 04:01:00,
p0279,0.610322892665863,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Citigroup'],REG - Citigroup Global MktSportingbet PLC - Form 8.5 (EPT/RI) Amendment,,2012-09-21 00:00:00,REG - Citigroup Global MktPetrobras Energia SA - Stabilisation Notice,,2012-09-24 00:00:00,
p0280,0.6303602457046509,"[0.60, 0.65)",DIFFERENT,2_of_3,UNCLEAR,DIFFERENT,DIFFERENT,['Apple'],RPT-Apple's new iPad making waves in video game market,,2012-03-12 00:00:00,Apple touches record high as iPad 3 sales run hot,,2012-03-15 00:00:00,
p0281,0.6128754615783691,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Google'],"WRAPUP 2-Google gets US, EU nod to buy Motorola Mobility",,2012-02-13 00:00:00,China anti-monopoly bureau looking into Google/Motorola deal,,2012-02-15 00:00:00,
p0282,0.6484987735748291,"[0.60, 0.65)",SAME,2_of_3,SAME,SAME,DIFFERENT,['Google'],Google Probe by French Privacy Agency May Prompt More Inquiries,"Google Inc. (GOOG) could face a fresh
round of criticism from European watchdogs after a French
regulator reports on whether changes to its privacy policy
violate data-protection rules. France ’s National Commission for Computing and Civil
Liberties , or CNIL, will announce its conclusions tomorrow.
Given the European Union’s patchwork approach to data
protection, regulators may then decide to pursue their own cases
against the company. As a result, the matter may not end with France for Google,
said Nick Graham, a data protection lawyer at SNR Denton in
 London . “While CNIL’s views will be p",2012-10-14 22:00:01,Legal flaws in Google privacy policy - EU data regulators,,2012-10-15 00:00:00,
p0283,0.6370609402656555,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Citigroup'],Citigroup Reports First Quarter 2012 Earnings Per Share1 of $0.95 -- $1.11 Excluding the Impact of Negative CVA/DVA2 And a Net Gain on Minority Investments3,,2012-04-16 00:00:00,Citigroup Declares Dividends,,2012-04-18 00:00:00,
